column_name,data type,value_unit,value_options,colum_name_aliases
name,,,,"title, project_name"
data_source,,,*,source
world_region,,,,
country,,,*,
country_region,,,*,
city,,,*,location
link,,,,reference
jurisdiction,,,*,govt_granting_contract
agency,,,,"actors, sponsors (private)"
policy_written_year,integer,year,,"year, issuing date"
policy_implementation_period_start_year,integer,year,,"date_effective, starting_date"
policy_implementation_period_end_year,integer,year,,termination_year
policy_status,,,*,"project_status, implementation_status"
policy_type,,,*,"type_of_policy_instrument, category, types"
policy_target,,,*,"sectors_affected, targeted_end_use, primary_sector"
description,,,,
ghgs_affected,? could b integer,,,ghg_target
related_to_eu_policy_boolean,boolean,,,
related_to_eu_policy,,,,
impact_on_eu_ets_esd_or_lulucf_emissions,,,,
total_ghg_emissions_reductions_in_2020,float,kt CO2eq/y,,
total_ghg_emissions_reductions_in_2030,float,kt CO2eq/y,,
related_to_neeap_policy_boolean,boolean,,,
related_to_neeap_policy,,,,
impact_evaluation,string,,,
policy_financing_quantity,string,currency,,"funding_quantity, total_investment"
policy_financing_period_start,integer,year,,
policy_financing_period_end,integer,year,,
percent_private_funded,float,percent,,
related_documents,,,,
